keys,ja
WORD_EVE_G1E_PRE0__6,"おしりで[C_Y]『する』[/C]のが好きなんでしょ？"
WORD_EVE_G1E_PRE0__7,"す……好きなんじゃ、なくって……"
WORD_EVE_G1E_PRE0__8,"胸や、あそこじゃ、きもちよくない、だけでぇ……"
WORD_EVE_G1E_PRE0__9,"じゃあ、気持ちよくなるところ見せてよ"
WORD_EVE_G1E_PRE0_10,"へ……？？？"
WORD_EVE_G1E_PRE0_11,"おしりで気持ちよくなるのは、変なことじゃないよ"
WORD_EVE_G1E_PRE0_12,"それに、おしりで[C_Y]『する』[/C]だけなら『セックス』じゃないでしょ？"
WORD_EVE_G1E_PRE0_13,"………………"
WORD_EVE_G1E_TUCKUP0,"「スカートを持ち上げて」"
WORD_EVE_G1E_TUCKUP1,"…………………………"
WORD_EVE_G1E_LOTION0,"ひゃっ……!?"
WORD_EVE_G1E_LOTION1,"うぅ……つめたい……"
WORD_EVE_G1E_ANAL_L0,"ん……!!"
WORD_EVE_G1E_ANAL_L1,"あれ、[C_G]最初から指が入る[/C]んだ"
WORD_EVE_G1E_ANAL_L2,"これなら、[C_D]ほぐさなくても入る[/C]ね"
WORD_EVE_G1E_ANAL_L3,"…………そんなこと……ない……"
WORD_EVE_G1E_ANAL_M0,"ん…………んんっ……"
WORD_EVE_G1E_ANAL_M1,"指が2本も入ってるの、わかる？"
WORD_EVE_G1E_ANAL_M2,"………………"
WORD_EVE_G1E_ANAL_H0,"うん、十分ほぐれたかな"
WORD_EVE_G1E_ANAL_H1,"…………ん……"
WORD_EVE_G1E_ANAL_H2,"なんだか、もの足りないって顔してるね"
WORD_EVE_G1E_ANAL_H3,"…………そんなこと……"
WORD_EVE_G1E_ANAL_H4,"でも、こんなに柔らかくなったら、指じゃ満足できないでしょ？"
WORD_EVE_G1E_ANAL_H5,"……………………"
WORD_EVE_G1E_THANK_0,"「素直でいい子だね」"
WORD_EVE_G1E_THANK_1,"あ……ありがとう、ございます……"
WORD_EVE_G1E_WHERE_0,"「いつもは自分の部屋で？」"
WORD_EVE_G1E_WHERE_1,"ト……トイレで……"
WORD_EVE_G1E_COUNT_0,"「1日に何回もしてるの？」"
WORD_EVE_G1E_COUNT_1,"…………1回、だけです……"
WORD_EVE_G1E_INSERT0,"[C_D]「自分で挿れてごらん」[/C]"
WORD_EVE_G1E_INSERT1,"…………ベビーオイル……なしは……"
WORD_EVE_G1E_INSERT2,"……………………はい……"
WORD_EVE_G1E_INSERT3,"ん……ん………!!"
WORD_EVE_G1E_FAIL__0,"…………もっと、ほぐさないと……!!"
WORD_EVE_G1E_F_PAS_0,"あっ!!?"
WORD_EVE_G1E_F_PAS_1,"ぐすっ……ひどい……!!"
WORD_EVE_G1E_F_PAS_2,"こんなの……痛くて、動けない……"
WORD_EVE_G1E_F_PSL_0,"うっ……痛い……!!"
WORD_EVE_G1E_F_PSL_1,"おしり……こわれちゃいます……!!"
WORD_EVE_G1E_F_PSM_0,"ぐっ!? …………ま、まだですか……っ!!"
WORD_EVE_G1E_F_PSH_0,"…………!!!"
WORD_EVE_G1E_F_FAST0,"うぅ……出して……はやく、出してくださいぃ…………!!!"
WORD_EVE_G1E_F_EJAC0,"あっ……出て……る……？"
WORD_EVE_G1E_F_EJAC1,"うっ!!?"
WORD_EVE_G1E_END___0,"はぁ……はぁ…………"
WORD_EVE_G1E_F_END_1,"お……おわり、ですよね……？"
WORD_EVE_G1E_S_PAS_0,"んっ……!!"
WORD_EVE_G1E_S_PAS_1,"は……入りました……？"
WORD_EVE_G1E_S_PSL_0,"ん……ん……"
WORD_EVE_G1E_S_PSL_1,"こっ……これでいい、ですか……？"
WORD_EVE_G1E_S_PSM_0,"んん……!!"
WORD_EVE_G1E_S_PSM_1,"はやく、し……ますか……？"
WORD_EVE_G1E_S_PSH_0,"はぁ…………はぁっ……!!"
WORD_EVE_G1E_S_PSH_1,"あ、あのっ……!!"
WORD_EVE_G1E_S_PSH_2,"……ごめんなさい"
WORD_EVE_G1E_S_PSH_3,"ごめんなさい、ごめんなさい‥…!!"
WORD_EVE_G1E_S_FAST0,"あっ、あ、あ……だめ……だめ……!!!"
WORD_EVE_G1E_S_EJAC0,"あ…………あ…………!!!"
WORD_EVE_G1E_S_END_1,"ごめん……なさい……"
WORD_EVE_G1E_S_END_2,"えっちな子で……ごめんなさい……"
WORD_EVE_G1F_PRE0__0,"あ……足で、ですか……!?"
WORD_EVE_G1F_PRE0__1,"上手にできたら『セックス』はしなくていいよ"
WORD_EVE_G1F_PRE0__2,"何をすればいいか……分かるね？"
WORD_EVE_G1F_PRE0__3,"えっ？？？ …………あ……そのぉ……"
WORD_EVE_G1F_PRE0__4,"こっ……こう！ ですよね！？"
WORD_EVE_G1F_PRE0__5,"………………"
WORD_EVE_G1F_FAST__0,"…………い、痛くない、ですか……？"
WORD_EVE_G1F_EJAC__1,"んっ!?"
WORD_EVE_G1F_END___0,"……………………"
WORD_EVE_G1F_END___1,"ん…………んん？"
WORD_EVE_G2A_WAKEUP1,"…………？"
WORD_EVE_G2A_LOTION_,"う…………？"
WORD_EVE_G2A_END___0,"すぅー……すぅー……"
WORD_EVE_G2A_LOVE1_1,"ん……"
WORD_EVE_G2A_LOVE2_1,"んん…………!!"
WORD_EVE_G2A_LOVEFST,"はぁ…………はぁ…………!!"
WORD_EVE_G2A_LOVEEJC,"んっ…………!!"
WORD_EVE_G2A_LOVEEND,"……………………？？？"
WORD_EVE_G2A_KILL__0,"ひっ!?"
WORD_EVE_G2A_KILL__1,"きゃあああああああ!!?"
WORD_EVE_G2A_HAND__0,"むっ!?"
WORD_EVE_G2A_HAND__1,"むぐぅーーーーーっ!!?"
WORD_EVE_G2B_PRE___0,"すぅー……すぅー……"
WORD_EVE_G2B_PRE___1,"手足をがっちり拘束してある"
WORD_EVE_G2B_PRE___2,"これなら多少[C_D]『乱暴』[/C]に扱っても、抵抗されないだろう"
WORD_EVE_G2B_FA_M__0,"ん……？"
WORD_EVE_G2B_FA_H__0,"ぅ……う……？？"
WORD_EVE_G2B_PUSH__0,"いッ……!!?"
WORD_EVE_G2B_PREPS_0,"…………えっ？ なに、なに!!?"
WORD_EVE_G2B_PREPS_1,"……パパだよね？ [C_G]開けた[/C]の、あたしじゃないよ？"
WORD_EVE_G2B_PREPS_2,"あれは……[N_G4]！ [N_G4]がやったの！"
WORD_EVE_G2B_PREPS_3,"だから、この『棒』抜いて？ おしり、苦しいから、ね？"
WORD_EVE_G2B_DEMOEND,"[C_G]体験版はここまでです。続きは製品版でお楽しみください。[/C]"
WORD_EVE_G2B_PSTNL_0,"いだッ……!?"
WORD_EVE_G2B_PSTNL_1,"ご、ごめんなさい！ あたし！ あたしが[C_G]開けた[/C]！"
WORD_EVE_G2B_PSTNL_2,"もう開けないから！ ごめんなさい!! ごめんなさい!!!"
WORD_EVE_G2B_PSTNM_0,"ぎゃあっ！？ 痛い!! 痛い!!?"
WORD_EVE_G2B_PSTNM_1,"ごめんなさい!! ごめんなさい!! ごめんなさいってば!!!"
WORD_EVE_G2B_PSTNH_0,"うぐっ!? な、なんで……なんで、あたしに……!?"
WORD_EVE_G2B_PSTNH_1,"あたしじゃなくて……ね、姉ちゃんにしてよ……!!!"
WORD_EVE_G2B_FAST__0,"ごめんなさい……って……言ってるのに……!!!"
WORD_EVE_G2B_EJAC__0,"ぁ…………"
WORD_EVE_G2B_END___0,"…………………………"
WORD_EVE_G2C_PFAIL_0,"すぅー……すぅー……"
WORD_EVE_G2C_PASS__0,"いだッ……!?"
WORD_EVE_G2C_PASS__1,"…………えっ？ なに、なに!!?"
WORD_EVE_G2C_PASS__2,"………………"
WORD_EVE_G2C_PASS__3,"こんなことして、ただですむと思ってるの！？"
WORD_EVE_G2C_PASS__4,"…………あのさ。これ、ほどかない……？"
WORD_EVE_G2C_PSTNL_0,"いっ！？"
WORD_EVE_G2C_PSTNL_1,"ごめんなさい!! ごめんなさい!! いまなら、ゆるしてあげるから!!!"
WORD_EVE_G2C_PSTNM_0,"ぎゃっ！？"
WORD_EVE_G2C_PSTNM_1,"パ、パパッ、たすけて！ パパぁ！！"
WORD_EVE_G2C_PSTNH_0,"ぱっ、パパ!! パパぁ……!!!"
WORD_EVE_G2C_FAST__0,"…………ぅ……ぁ、…………パパぁ……!!"
WORD_EVE_G2C_EJAC__0,"ひっ!!? なに、なに……!?"
WORD_EVE_G2C_EJAC__1,"うっ!!?"
WORD_EVE_G2C_END___0,"あ………ぅ……………"
WORD_EVE_G2D_PRE___0,"すぅ…………すや…………"
WORD_EVE_G2D_PRE___1,"反抗的な[N_G2]ちゃんの口内は、噛み切られるリスクがある"
WORD_EVE_G2D_PRE___2,"だが、この姿勢であれば……"
WORD_EVE_G2D_PRE___3,"すやぁ…………"
WORD_EVE_G2D_PREPS_0,"ん…………すぅ…………"
WORD_EVE_G2D_PREPS_1,"すぐ起きるかもしれない。口内に集中しよう"
WORD_EVE_G2D_PSTNL_0,"ん……"
WORD_EVE_G2D_PSTNM_0,"ん…………ん……？"
WORD_EVE_G2D_PSTNH_0,"ん……む……"
WORD_EVE_G2D_FAST__0,"むっ……ぐっ……むぐぅ……!?"
WORD_EVE_G2D_EJAC__0,"んっ!? ……むぅぅ…………!!?"
WORD_EVE_G2D_EJAC__1,"うっ!!?"
WORD_EVE_G2D_END___0,"はぁ…………はぁ…………"
WORD_EVE_G2D_END___1,"……………………？？？"
WORD_EVE_G3A_ROOM__1,"おかえりなさー……"
WORD_EVE_G3A_ROOM__2,"………………………………"
WORD_EVE_G3A_ROOM__3,"焦るな……[C_D]『今夜』[/C]は誰にも見つかっていない"
WORD_EVE_G3A_ROOM__4,"[C_G]部屋を探索[/C]して、[C_Y]鍵を開けられるもの[/C]を探すんだ"
WORD_EVE_G3A_WRAP__1,"……!!"
WORD_EVE_G3A_WRAP__2,"ひっ!!?"
WORD_EVE_G3A_WRAP__3,"大人しく質問に応えろ……いいな？"
WORD_EVE_G3B_TCH_K_1,"…………？ なにが……？"
WORD_EVE_G3B_TCH_M_1,"…………こわい……"
WORD_EVE_G3B_PRE___0,"………………？"
WORD_EVE_G3B_PRE___1,"あれ……？ おとなりさんの……？"
WORD_EVE_G3B_PRE___2,"な……なんで脱がせるの……？"
WORD_EVE_G3B_PRE___3,"…………おふろ、うちにないよ……"
WORD_EVE_G3B_PRE___4,"………………"
WORD_EVE_G3B_PRE___5,"………………？？？"
WORD_EVE_G3B_TV_M__0,"ひゃっ!?"
WORD_EVE_G3B_TV_M__1,"きっ、きたないって……！"
WORD_EVE_G3B_SEL1__1,"…………み……"
WORD_EVE_G3B_SEL1__2,"[N_G3]……です……"
WORD_SEL_G3B_SEL2__0,"「ひとりで留守番してたの？」"
WORD_EVE_G3B_SEL2__1,"[shake]…………[/shake]"
WORD_EVE_G3B_SEL2__2,"[shake]…………して……たよ……？[/shake]"
WORD_EVE_G3B_SEL2__3,"[shake]みんな……おふろ、いってる……[/shake]"
WORD_SEL_G3B_SEL3__0,"「朝は家にいた？」"
WORD_EVE_G3B_SEL3__1,"あ、あさは……おさんぽ……"
WORD_EVE_G3B_SEL3__2,"[N_G1]ねーちゃんだけ……いえで、おりょうり……"
WORD_EVE_G3B_SEL3__3,"その時間は分かる？"
WORD_EVE_G3B_SEL3__4,"…………[C_G]朝の10時[/C]、ぐらい……？"
WORD_SEL_G3B_SEL4__0,"「昼は家にいた？」"
WORD_EVE_G3B_SEL4__1,"……おひるは、かいもの"
WORD_EVE_G3B_SEL4__2,"[N_G2]ねーちゃんだけ……いえで、おひるね……"
WORD_EVE_G3B_SEL4__3,"その時間は分かる？"
WORD_EVE_G3B_SEL4__4,"…………[C_G]昼の2時半[/C]、ぐらい……？"
WORD_EVE_G3C_PRE___0,"歯を立てるなよ？"
WORD_EVE_G3C_PREPS_0,"…………？？？"
WORD_EVE_G3C_PSTNL_0,"ん……？"
WORD_EVE_G3C_PSTNM_0,"ぐっ!!? …………むっ……!!"
WORD_EVE_G3C_PSTNH_0,"う……ぐ…………うぅ……!!"
WORD_EVE_G3C_FAST__0,"ウッ!? ……むッ、ぐ……!!!"
WORD_EVE_G3C_EJAC__0,"んんっ!? ……ん……"
WORD_EVE_G3C_END___0,"………………"
WORD_EVE_G3C_END___1,"おしっこ……くさい……"
WORD_EVE_G3C_END___2,"…………え？"
WORD_EVE_G3E_PRE___0,"…………なに？"
WORD_EVE_G3E_PUSHF_0,"…………？？"
WORD_EVE_G3E_PASS__0,"ぎっ……!!?"
WORD_EVE_G3E_PREPS_0,"声を出してもいいんだよ？"
WORD_EVE_G3E_PREPS_1,"………………"
WORD_EVE_G3E_PSTNS_0,"はぁ…………はぁっ……!!"
WORD_EVE_G3E_PSTNL_0,"う………ぐ………!!"
WORD_EVE_G3E_PSTNM_0,"うっ………!!?"
WORD_EVE_G3E_PSTNM_1,"ふーっ……ふーー……!!"
WORD_EVE_G3E_PSTNH_0,"ふぐぅぅ……ッ!!?"
WORD_EVE_G3E_FAST__0,"うっ!? ……むっ…………ううぅぅ……!!!"
WORD_EVE_G3E_EJAC__0,"う……？"
WORD_EVE_G3E_END___0,"…………ぐすっ……"
WORD_EVE_G3E_END___1,"よつ……な…………"
WORD_EVE_G3F_PRE___0,"その枕……[C_G]キミの物じゃない[/C]よね？"
WORD_EVE_G3F_PRE___1,"…………"
WORD_EVE_G3F_PRE___2,"このベッドにあったけど……[C_G]キミの部屋は反対側[/C]でしょ？"
WORD_EVE_G3F_PRE___3,"[C_D]さっきまで、誰かが使っていた[/C]のかな？"
WORD_EVE_G3F_PRE___4,"……まあ、いいや"
WORD_EVE_G3F_PRE___5,"それをぎゅっとしてる間に終わるから"
WORD_EVE_G3F_PRE___6,"痛かったら[C_D][shake]好きなだけ大声を出していい[/shake][/C]からね"
WORD_EVE_G3F_TV_R__0,"ぐっ!!?"
WORD_EVE_G3F_LOTION0,"んっ……!?"
WORD_EVE_G3F_LOTION1,"…………？"
WORD_EVE_G3F_FA_L__0,"………………"
WORD_EVE_G3F_FA_M__0,"んっ……"
WORD_EVE_G3F_FA_M__1,"そこ……きたない……"
WORD_EVE_G3F_FA_H__0,"うぅ……!!"
WORD_EVE_G3F_FA_H__1,"く……くるしい……!!"
WORD_EVE_G3F_FAEND_0,"はぁ……はぁ……"
WORD_EVE_G3F_PUSHF_0,"……………………？？"
WORD_EVE_G3F_PASS__0,"いっ……!!?"
WORD_EVE_G3F_PREPS_0,"はぁ……はぁ……っ、ふー……"
WORD_EVE_G3F_PSTNL_0,"うぅ……"
WORD_EVE_G3F_PSTNL_1,"くるしい……くるしいよ……!!"
WORD_EVE_G3F_PSTNM_0,"ぐっ!!? …………むっ……!!"
WORD_EVE_G3F_PSTNM_1,"ふーっ……ふーー……"
WORD_EVE_G3F_PSTNH_0,"ぐうぅ……!! [N_G4]……[N_G4]ぁ……"
WORD_EVE_G3F_FAST__0,"うっ!? ……むっ…………ううぅぅ……!!!"
WORD_EVE_G3F_EJAC__0,"う………"
WORD_EVE_G3F_END___0,"………………"
WORD_EVE_G3F_END___1,"よつ……な…………"
WORD_EVE_G4A_PRE___0,"──おまたせ、いい子で待ててえらいね"
WORD_EVE_G4A_PRE___1,"……おじさん、だれー？"
WORD_EVE_G4A_PRE___2,"おじさんは『お医者さん』だよ"
WORD_EVE_G4A_PRE___3,"おねーちゃんと、なにしてたの？"
WORD_EVE_G4A_PRE___4,"お姉ちゃんは いま『病気』だからね"
WORD_EVE_G4A_PRE___5,"お部屋からコッソリ出ないように[C_D]『注意』[/C]してあげただけさ"
WORD_EVE_G4A_PRE___6,"ふーん……"
WORD_EVE_G4A_PRE___7,"念のため、感染してないか 調べてあげるから、"
WORD_EVE_G4A_PRE___8,"お姉ちゃんみたいに……おとなしくできるかな？"
WORD_EVE_G4A_PRE___9,"うん！"
WORD_EVE_G4A_SEL1__1,"[N_G4]だよ？ しらないのー？"
WORD_EVE_G4A_SEL1__2,"ごめんごめん、何歳かな？"
WORD_EVE_G4A_SEL1__3,"んーと……『おねーちゃんの、みっつ した』！"
WORD_EVE_G4A_SEL2__0,"「なんで あんなところにいたの？」"
WORD_EVE_G4A_SEL2__1,"ゲームしてたら、おねーちゃんが[C_D]「かくれて！」[/C]ってさ"
WORD_EVE_G4A_SEL2__2,"おねーちゃん、おいしゃさんがニガテなんだね～？"
WORD_EVE_G4A_SEL3__0,"[C_D]「おむね、見せてくれる？」[/C]"
WORD_EVE_G4A_SEL3__1,"はーい！"
WORD_EVE_G4A_TCH_K_1,"んー……わかんない！"
WORD_EVE_G4A_TCH_S_1,"……わかんないよ"
WORD_EVE_G4A_TCH_M_1,"んー……？"
WORD_EVE_G4A_TCH_H_1,"きもちいい～！"
WORD_EVE_G4A_SEL4__0,"[C_D]「おまたも見せてくれる？」[/C]"
WORD_EVE_G4A_SEL4__1,"えー？ なんでー？"
WORD_EVE_G4A_SEL4__2,"そこも診察しないといけないんだ。ごめんね？"
WORD_EVE_G4A_SEL4__3,"へんなのー"
WORD_EVE_G4A_SEL5__0,"[C_D]「大変だ、感染してる！」[/C]"
WORD_EVE_G4A_SEL5__1,"へっ……？"
WORD_EVE_G4A_SEL5__2,"見つかってよかったね、すぐに治すから！"
WORD_EVE_G4A_SEL5__3,"…………うん……"
WORD_EVE_G4B_PRE___0,"大丈夫、怖がらないで"
WORD_EVE_G4B_PRE___1,"ここから出る『おくすり』を飲めば、すぐ治っちゃうからね"
WORD_EVE_G4B_PRE___2,"おしっこ、のむの？"
WORD_EVE_G4B_PRE___3,"おしっこじゃないよ、『精子』"
WORD_EVE_G4B_PRE___4,"お姉ちゃんも、これを飲んだら元気になったよ"
WORD_EVE_G4B_PRE___5,"『せーし』……"
WORD_EVE_G4B_PRE___6,"……[N_G4]ちゃんは甘いもの、好きかな？"
WORD_EVE_G4B_PRE___7,"…………うん"
WORD_EVE_G4B_PRE___8,"そこで、『あまいシロップ』の出番！"
WORD_EVE_G4B_PRE___9,"わぁ……!!!"
WORD_EVE_G4B_PRE__10,"これをいっぱい『なめなめ』すると、精子が出るんだ"
WORD_EVE_G4B_PRE__11,"お姉ちゃんみたいに……『なめなめ』できるかな？"
WORD_EVE_G4B_PRE__12,"はーい！"
WORD_EVE_G4B_T_FST_0,"…………!!"
WORD_EVE_G4B_T_EJC_0,"むぐっ……!?"
WORD_EVE_G4B_F_FST_0,"むぐっ!?"
WORD_EVE_G4B_F_EJC_0,"……!!? ん……む……!!!"
WORD_EVE_G4B_F_EJC_1,"ぐっ!!?"
WORD_EVE_G4B_END___0,"…………"
WORD_EVE_G4B_END___1,"ママ……ママぁぁぁぁあ……!!!"
WORD_EVE_G4C_PRE___0,"……………………"
WORD_EVE_G4C_PRE___1,"[N_G4]ちゃんは『オトナ注射』平気？"
WORD_EVE_G4C_PRE___2,"おとな……？"
WORD_EVE_G4C_PRE___3,"『オトナ注射』はね、おしっこかうんちの穴にするんだよ"
WORD_EVE_G4C_PRE___4,"へんなのー"
WORD_EVE_G4C_PRE___5,"お姉ちゃんもこれで元気になったんだ"
WORD_EVE_G4C_PRE___6,"お姉ちゃんみたいに『オトナ注射』、やってもいいかな？"
WORD_EVE_G4C_PRE___7,"いいよー！"
WORD_EVE_G4C_TV_M__0,"んっ！？"
WORD_EVE_G4C_PREPU_0,"そうそう、しっかり持っててね"
WORD_EVE_G4C_PREPU_1,"[C_D]痛かったら 大きな声で教えてほしい[/C]んだ"
WORD_EVE_G4C_PREPU_2,"ちょっと練習してみよっか？ さん、はい！"
WORD_EVE_G4C_PREPU_3,"いたーーい♪"
WORD_EVE_G4C_PREPU_4,"えらいね～。じゃあ、その調子でお願いね"
WORD_EVE_G4C_PREPU_5,"はーい！"
WORD_EVE_G4C_PUSHF_0,"いたくなーーい♪"
WORD_EVE_G4C_PASS__0,"いッ……!? いたあぁぁぁぁあい……!!!"
WORD_EVE_G4C_PREPS_0,"………………？？？"
WORD_EVE_G4C_PREPS_1,"おわった……？"
WORD_EVE_G4C_PSTNL_0,"ひっ!? い、いたい!! いた、いたい……!!!"
WORD_EVE_G4C_PSTNL_1,"『いたい』って……いってるじゃん！！！"
WORD_EVE_G4C_PSTNM_0,"いだッ……あああああああ!!!!!"
WORD_EVE_G4C_PSTNH_0,"まっ、ママ!! ママぁぁぁぁあ!!!"
WORD_EVE_G4C_FAST__0,"うっ、ぐっ、う、ぅ、ぁ、あああ…………!!!"
WORD_EVE_G4C_EJAC__0,"うっ…………マ……マ…………"
WORD_EVE_G4C_EJAC__1,"ぐうっ!!?"
WORD_EVE_G4C_END___0,"…………"
WORD_EVE_G4C_END___1,"ママ……ママぁぁぁぁあ……!!!"
WORD_EVE_G4D_PRE___0,"これから おしりに『おくすり』を挿れるから"
WORD_EVE_G4D_PRE___1,"お姉ちゃんみたいに、元気になろうね"
WORD_EVE_G4D_PRE___2,"はーい！"
WORD_SEL_G4D_SEL1__0,"「よつなちゃん、軽いね。体重いくつ？」"
WORD_EVE_G4D_SEL1__1,"んーと……じゅーはち？"
WORD_SEL_G4D_SEL2__0,"「……よつなちゃん、いくつ？」"
WORD_EVE_G4D_SEL2__1,"……？ じゅーはち？"
WORD_EVE_G4D_SEL2__2,"『18』か！ それなら[C_P][shake]『セーフ』[/shake][/C]だね！"
WORD_EVE_G4D_SEL2__3,"…………？？？"
WORD_EVE_G4D_LOTION0,"うっ……!?"
WORD_EVE_G4D_LOTION1,"…………『おくすり』、つめたっ！"
WORD_EVE_G4D_LOTION2,"まだ『おくすり』じゃないよ、マッサージ"
WORD_EVE_G4D_LOTION3,"おしりをほぐして、やわらかくするんだ"
WORD_EVE_G4D_LOTION4,"えー……？"
WORD_EVE_G4D_FA_M__0,"お……？"
WORD_EVE_G4D_FA_H__0,"きゃはははは……!! くすぐった～い!!!"
WORD_EVE_G4D_FAEND_0,"ねー、『おくすり』まだー？"
WORD_EVE_G4D_FAEND_1,"……そろそろ、大丈夫だろう"
WORD_EVE_G4D_PREPU_0,"……？　おしっこ、したいの？"
WORD_EVE_G4D_PREPU_1,"おしっこじゃないよ、『精子』ってお薬"
WORD_EVE_G4D_PREPU_2,"『せーし』……"
WORD_EVE_G4D_PREPU_3,"ちょっと[C_D]くすぐったい[/C]かもだけど、ガマンしてね"
WORD_EVE_G4D_PREPU_4,"はーい！"
WORD_EVE_G4D_PUSHF_0,"……？ [N_G4]はトイレじゃないよー？"
WORD_EVE_G4D_PUSHF_1,"もー……くすぐったいよー"
WORD_EVE_G4D_PASS__0,"ぎッ……!!?"
WORD_EVE_G4D_PREPS_0,"………………？？？"
WORD_EVE_G4D_PREPS_1,"おわった……？"
WORD_EVE_G4D_PSTNL_0,"ひっ!? い、いたい!! いた、いたい……!!!"
WORD_EVE_G4D_PSTNL_1,"[N_G4]は……トイレじゃない……のに……!!"
WORD_EVE_G4D_PSTNM_0,"まっ、ママ!! ママぁぁぁぁあ!!!"
WORD_EVE_G4D_PSTNH_0,"いだい いだい いだい!!! しんじゃう!! しんじゃう……!!!"
WORD_EVE_G4D_FAST__0,"ぁ…………"
WORD_EVE_G4D_EJAC__0,"…………ぅ……ぁ……"
WORD_EVE_G4D_END___0,"……………………"
WORD_EVE_G5A_PRE___0,"よし、これで[C_D]どの穴も準備完了[/C]だ"
WORD_EVE_G5A_PRE___1,"おねーちゃん、なんでパンツ食べてるの？"
WORD_EVE_G5A_PRE___2,"夜遅いのに、うるさくしたら ご近所迷惑でしょ？"
WORD_EVE_G5A_PRE___3,"ふーっ……ふーっ……"
WORD_EVE_G5A_PRE___4,"お姉ちゃんは『オトナ注射』が怖いんだって"
WORD_EVE_G5A_PRE___5,"……むぐ？？？"
WORD_EVE_G5A_PRE___6,"おとな……？"
WORD_EVE_G5A_PRE___7,"『オトナ注射』はね、おしっこかうんちの穴にするんだ。"
WORD_EVE_G5A_PRE___8,"？？？？？"
WORD_EVE_G5A_PRE___9,"[N_G4]ちゃんは、お姉ちゃんが[C_D]逃げないように──[/C]"
WORD_EVE_G5A_PRE__10,"お姉ちゃんを、[C_D][shake]ぎゅっとしてくれるかな？[/shake][/C]"
WORD_EVE_G5A_PRE__11,"はーい！"
WORD_EVE_G5A_PUSHF_0,"…………？"
WORD_EVE_G5A_3PASS_0,"ふぐっ……!!?"
WORD_EVE_G5A_3PREPS0,"[N_G4]ちゃん、痛い？ 大丈夫？"
WORD_EVE_G5A_3PREPS1,"えー？ いたくなーーい♪"
WORD_EVE_G5A_3PREPS2,"ふぐぅ……？？"
WORD_EVE_G5A_3PREPS3,"じゃあ、[C_D][shake]お姉ちゃんと一緒に[/shake][/C]ガマンできるよね？"
WORD_EVE_G5A_3PREPS4,"いいよーー！"
WORD_EVE_G5A_3PSTNL0,"ふっ!!? ぐぅ……!!"
WORD_EVE_G5A_3PSTNL1,"……？"
WORD_EVE_G5A_3PSTNL2,"おねーちゃん、これがイヤなの？ なんで？"
WORD_EVE_G5A_3PSTNM0,"わっ！ わっ！"
WORD_EVE_G5A_3PSTNM1,"[N_G4]ちゃん、オトナ注射は平気？"
WORD_EVE_G5A_3PSTNM2,"へいきー！ もっとやってー！"
WORD_EVE_G5A_3PSTNM3,"うぐっ……!! むッ……!!!"
WORD_EVE_G5A_3PSTNH0,"うっ!? ぐ、う、むっ、ぐ、ぐぅ……!!!"
WORD_EVE_G5A_3PSTNH1,"おねーちゃん、こんなのが怖いのー？"
WORD_EVE_G5A_3FAST_0,"ひゃー、はやい！ はやいね！ おねーちゃん……！"
WORD_EVE_G5A_3EJAC_0,"…………？　おねーちゃん……？"
WORD_EVE_G5A_3EJAC_1,"んっ！？"
WORD_EVE_G5A_3END__0,"……………………"
WORD_EVE_G5A_3END__1,"おねーちゃんに…………なにかした……？"
WORD_EVE_G5A_4PASS_0,"ぎッ……!!?"
WORD_EVE_G5A_4PREPS0,"………………？？？"
WORD_EVE_G5A_4PREPS1,"おわった……？"
WORD_EVE_G5A_4PREPS2,"まだだよ、[C_D][shake]お姉ちゃんと一緒に[/shake][/C]ガマンしようね"
WORD_EVE_G5A_4PREPS3,"むぐ？？？？？？"
WORD_EVE_G5A_4PSTNL0,"ひっ!? い、いたい!! いた、いたい……!!!"
WORD_EVE_G5A_4PSTNL1,"たっ!? たすけて、おねーちゃん!!"
WORD_EVE_G5A_4PSTNL2,"ふぐぅ……？"
WORD_EVE_G5A_4PSTNM0,"……おねーちゃん!? おねーちゃんってば……!!! "
WORD_EVE_G5A_4PSTNM1,"……む……ぅ…………!?"
WORD_EVE_G5A_4PSTNH0,"まっ、ママ!! ママぁぁぁぁあ!!!"
WORD_EVE_G5A_4PSTNH1,"……………………"
WORD_EVE_G5A_4FAST_0,"……マ……マ…………ママぁぁぁ……!!"
WORD_EVE_G5A_4EJAC_0,"うっ…………マ……マ…………"
WORD_EVE_G5A_4EJAC_1,"ぐうっ!!?"
WORD_EVE_G5A_4END__0,"…………"
WORD_EVE_G5A_4END__1,"ママ……ママぁぁぁぁあ……!!!"
WORD_EVE_G1S_END___0,"すぅー……すぅー……"
WORD_EVE_G1S_WAKEUP1,"…………？"
WORD_EVE_G1S_WAKEUP2,"痛っ…………え？"
WORD_EVE_G1S_PSTNM_0,"むっ!? むぐっ!? むぐ……ッ!!!?"
WORD_EVE_G1S_PSTNH_0,"む……ぐ………むぐ………!!"
WORD_EVE_G1S_FAST__0,"むぐっ、ぐ……ふぐぅぅぅぅ……!!!"
WORD_EVE_G1S_EJAC__0,"んんん……!!"
WORD_EVE_G1S_EJAC__1,"うっ!!?"
WORD_EVE_G1S_FEND__0,"……………………"
WORD_EVE_G1S_LOVETD1,"んっ♡"
WORD_EVE_G1S_LOVETW1,"んー……？"
WORD_EVE_G1S_LOVEFST,"ふ………ぅ……………♡"
WORD_EVE_G1S_LOVEEJC,"あ…………♡"
